SID	tai_cnnPC1	tai_cnnPC2	tai_cnnPC3	tai_cnnPC4	tai_cnnPC5	tai_cnnPC6	tai_cnnPC7	tai_cnnPC8	tai_cnnPC9	tai_cnnPC10
TE0003953	47.09204	-5.6685305	-20.483269	-41.863792	9.79557	16.441818	11.169539	14.293469	-8.209465	-13.260026
TE0003954	16.268396	-8.270513	0.89397866	-36.248455	30.318872	-19.439724	-4.2208753	14.7729025	38.457405	-9.609891
TE0003955	45.149593	30.611992	-17.11586	12.36783	12.914824	-21.027052	8.817373	-6.483232	-0.31632936	22.072456
TE0003956	5.9524965	-11.617567	29.65108	-4.023954	30.420847	-10.218451	-1.3277593	-26.449099	0.9445774	5.50966
TE0003957	45.736317	-33.242233	-10.08925	-3.4184813	9.933712	3.49347	21.577686	-1.1364857	2.9793715	-6.9907274
TE0003958	-2.6405828	-28.161263	14.618351	-3.9227161	36.489975	28.811388	8.662453	17.20629	12.807248	0.85241145
TE0003959	-25.622147	5.1451054	10.980634	-0.2590536	-9.937922	-6.9724464	-2.330585	-23.612057	17.044188	-3.3520362
TE0003960	-11.078603	4.8919916	-20.582945	9.365327	-10.101388	-4.108652	-33.850697	-15.2964325	-6.157846	-5.4883385
TE0003961	-20.898539	-13.079925	20.825037	-28.829247	12.695515	-13.1740885	4.392184	-4.1419835	-4.1841636	-8.565287
TE0003962	-10.726454	2.6386554	-10.019437	-0.84126925	40.72428	2.3869848	8.471935	-21.426945	11.580201	8.662185
TE0003963	99.63382	59.49379	-10.660223	28.416914	24.038452	-16.156878	-19.94701	15.579493	20.333382	-6.754841
TE0003964	-18.27169	-40.41279	1.1085678	-29.348421	23.665129	32.516376	28.067354	-1.0076727	14.479712	-11.87568
TE0003965	27.119389	3.8508375	-13.881424	35.32264	26.814333	9.68192	-15.45722	-0.41756555	-20.533836	-3.0396721
TE0003966	-29.26516	42.338108	-23.05316	18.892225	36.808254	-45.184135	1.3417709	42.47033	0.11940288	38.87838
TE0003967	25.122171	48.366657	21.398027	-50.287468	13.389387	-9.594402	-4.3607826	23.252274	-4.0869694	-13.356929
TE0003968	-33.419724	36.634342	10.075572	12.947712	-14.990296	-20.205763	25.444881	4.2710643	-5.1803064	-10.845327
TE0003969	35.688988	-48.931587	-54.94711	-17.799412	16.7874	8.933498	2.5992062	16.034517	3.8190815	-6.5101056
TE0003970	-9.423224	-50.126827	-8.090135	-10.742053	36.09665	3.6989067	9.817973	3.354382	13.355838	18.697437
TE0003971	-4.071107	-35.497356	-13.549767	-23.035336	61.364716	-2.1480048	-23.585768	-17.314426	21.671955	8.840445
TE0003972	4.8594017	16.23822	7.734255	-20.137163	11.501315	3.2394395	29.064497	2.6784892	-3.6789553	-11.804053
TE0003973	-18.284838	-15.249504	-15.041873	12.385393	6.6215363	-10.508744	11.90752	-4.2819242	-9.393176	-8.874924
TE0003974	-11.580991	-34.676197	32.85492	3.771505	-3.294792	16.20737	21.729475	-14.207104	-3.4700258	3.6904473
TE0003975	-44.04826	22.102863	-26.225208	-1.7793934	26.948444	-26.554304	10.033959	-9.39636	7.784842	-10.106849
TE0003976	21.190262	0.6875681	-19.084509	-9.752567	10.726219	19.730307	14.047529	0.72618574	-9.024157	7.97885
TE0003977	-28.641548	15.2025795	-5.9604883	17.77215	28.204247	-3.5767562	14.128462	-5.659971	-0.07560977	-10.058591
TE0003978	25.182697	-17.180986	-34.756992	-28.183804	7.969835	17.558767	1.9663548	-0.14418404	5.4570513	-9.5271225
TE0003979	-9.603633	-6.1925864	-1.8842261	11.883021	28.436174	9.669999	16.476105	20.706821	8.50095	6.121156
TE0003980	28.147614	53.101166	30.919046	-40.881172	13.95191	-13.827286	-13.766323	-30.729532	-29.913107	16.877035
TE0003981	-61.54392	34.33143	18.85401	36.602432	-33.50226	24.93819	16.613138	42.88967	22.133978	-6.0634046
TE0003982	13.735948	55.589863	-15.414859	-25.315113	-3.4958434	3.6607292	2.9289308	-18.866682	-42.904213	1.0088927
TE0003983	13.702639	-14.605931	2.2884395	-16.460917	-3.353328	3.7748344	16.08776	13.167971	16.37833	14.750275
TE0003984	46.752686	25.816095	-31.263369	9.465556	-5.9526143	5.880801	-20.654978	28.353037	4.8030314	8.372726
TE0003985	-29.656134	-0.40237978	-0.21870252	55.41844	-4.429235	20.121098	15.003727	8.808437	-13.68591	-15.110292
TE0003986	5.0849776	39.458267	-2.5686667	-2.9613042	13.211171	-14.537099	17.993225	25.34158	10.462213	27.590168
TE0003987	-9.118783	-15.160743	-10.299826	12.978352	11.609483	15.464163	15.310116	-11.019941	13.624094	14.800242
TE0003988	-16.475199	35.073627	10.483024	-27.140697	9.272803	-19.772982	22.572563	-15.719564	17.696428	-21.880657
TE0003989	-28.99903	22.56789	7.9342937	-19.374636	35.486343	-7.147075	7.122782	13.256478	-6.9379506	-7.747907
TE0003990	49.005264	37.16752	-24.821527	-17.594221	-5.234465	-10.318065	0.6080294	7.085253	19.068277	-4.788486
