SID	tg_lbp1	tg_lbp2	tg_lbp3	tg_lbp4	tg_lbp5	tg_hog1	tg_hog2	tg_hog3	tg_hog4	tg_hog5	tg_contrast	tg_dissimilarity	tg_homogeneity	tg_energy	tg_correlation	tg_entropy
TE0005439	74062	26515	38590	26465	81460	396119	28356	688	60	27	77.09452329	3.367010459	0.483138709	0.307407987	0.952516557	6.854885296
TE0005440	37048	15849	26636	15900	41449	256366	18570	390	59	15	75.63792487	3.089232473	0.57066357	0.411950223	0.921087977	6.529399147
TE0005441	66070	24209	38884	24695	72002	346354	30575	542	56	14	98.89949109	3.346471793	0.50146776	0.293142492	0.948617942	7.064019872
TE0005442	32585	12426	23947	15464	42960	196944	16787	559	19	17	66.90982561	2.586353259	0.563588516	0.314885313	0.958949656	7.063385529
TE0005443	50124	18137	32295	18543	60430	281382	22647	628	46	19	64.36277518	2.737839673	0.52494109	0.301556095	0.949310748	6.677214851
TE0005444	47665	16890	26544	15929	49085	297924	17838	462	54	27	73.53355564	3.569627193	0.535575962	0.409878927	0.912475284	6.570193554
TE0005445	52724	19564	36863	19994	60624	296169	23171	784	46	23	71.73559689	2.665409136	0.525099237	0.304489145	0.951925254	6.592377042
TE0005446	44834	16075	25950	15412	49590	244632	20128	541	40	15	97.61038791	3.475173961	0.505212217	0.330481923	0.96465474	7.24925234
TE0005447	67003	24049	41667	23994	74010	371720	29165	634	56	23	67.1020151	2.754271583	0.531076151	0.314550982	0.954839884	6.863307952
TE0005448	47044	17245	31721	17183	46682	297716	20975	533	49	29	72.49298682	2.83868203	0.563837933	0.400999248	0.919160215	6.514004617
TE0005449	56180	20358	34626	18710	58531	322925	22894	632	42	25	70.09688962	3.067403398	0.535416539	0.356252694	0.922819508	6.523953992
TE0005450	53954	22111	33625	19188	62008	312261	23087	585	45	10	120.255218	4.751221544	0.471406552	0.320997965	0.897200311	6.77406833
TE0005451	53354	18163	33761	19320	61130	288584	23742	584	60	14	61.07635527	2.664910944	0.522995037	0.304051881	0.964618082	6.95357705
TE0005452	79855	28051	48383	27419	78689	401871	34374	742	72	17	106.3427116	4.201934945	0.44382674	0.282933008	0.943546693	6.987629706
TE0005453	66298	24456	35823	22080	64683	351657	23008	772	51	28	116.8470665	5.025423782	0.442224749	0.319331974	0.908932678	6.843694734
