SID	fissure_Red1	fissure_Red3	fissure_Red4	fissure_Green1	fissure_Green3	fissure_Green4	fissure_Blue1	fissure_Blue3	fissure_Blue4	fissure_Blue5	fissure_L1	fissure_L3	fissure_L4	fissure_a3	fissure_a4	fissure_b3	fissure_H1	fissure_H4	fissure_S1	fissure_S2	fissure_S3	fissure_V1	fissure_V3	fissure_V4	fissure_V5	fissure_Gray1	fissure_Gray3	fissure_Gray4	fissure_Red_mid	fissure_Red_avg	fissure_Red_var	fissure_Red_skew	fissure_Green_mid	fissure_Green_avg	fissure_Green_var	fissure_Green_skew	fissure_Blue_mid	fissure_Blue_avg	fissure_Blue_var	fissure_Blue_skew	fissure_L_mid	fissure_L_avg	fissure_L_var	fissure_L_skew	fissure_a_mid	fissure_a_avg	fissure_a_var	fissure_a_skew	fissure_b_mid	fissure_b_avg	fissure_b_var	fissure_b_skew	fissure_H_mid	fissure_H_avg	fissure_H_var	fissure_H_skew	fissure_S_mid	fissure_S_avg	fissure_S_var	fissure_S_skew	fissure_V_mid	fissure_V_avg	fissure_V_var	fissure_V_skew	fissure_gray_mid	fissure_gray_avg	fissure_gray_var	fissure_gray_skew	fissure_Red_mid_ratio	fissure_Red_avg_ratio	fissure_Red_var_ratio	fissure_Red_skew_ratio	fissure_Green_mid_ratio	fissure_Green_avg_ratio	fissure_Green_var_ratio	fissure_Green_skew_ratio	fissure_Blue_mid_ratio	fissure_Blue_avg_ratio	fissure_Blue_var_ratio	fissure_Blue_skew_ratio	fissure_L_mid_ratio	fissure_L_avg_ratio	fissure_L_var_ratio	fissure_L_skew_ratio	fissure_a_mid_ratio	fissure_a_avg_ratio	fissure_a_var_ratio	fissure_a_skew_ratio	fissure_b_mid_ratio	fissure_b_avg_ratio	fissure_b_var_ratio	fissure_b_skew_ratio	fissure_H_mid_ratio	fissure_H_avg_ratio	fissure_H_var_ratio	fissure_H_skew_ratio	fissure_S_mid_ratio	fissure_S_avg_ratio	fissure_S_var_ratio	fissure_S_skew_ratio	fissure_V_mid_ratio	fissure_V_avg_ratio	fissure_V_var_ratio	fissure_V_skew_ratio	fissure_gray_mid_ratio	fissure_gray_avg_ratio	fissure_gray_var_ratio	fissure_gray_skew_ratio
TE0005704	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0005705	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0005706	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0005707	0.001190476	0.88928574	0.01904762	0.001190476	0.68214285	0.003571429	0.001190476	0.028571429	0.675	0.2952381	0.001190476	0.7690476	0.22619048	0.17380953	0.8261905	1	0.00952381	0.9904762	0.00952381	0.3345238	0.65119046	0.001190476	0.028571429	0.675	0.2952381	0.001190476	0.87857145	0.108333334	122	122.3809524	235.0810658	-0.252636235	110	110.5464286	251.2002253	0.030349036	196	194.95	361.7760714	-1.205975824	145	144.2011905	173.3964272	-0.808900072	164	162.5345238	74.57261763	-0.554847314	137	136.4988095	11.34999858	-0.150256171	176	174.1595238	291.4745522	-9.99924022	114	109.447619	509.7901134	-0.556441659	196	194.95	361.7760714	-1.205975824	137	137.1345238	191.7473795	-0.555763088	0.917293233	0.956481692	0.307508784	0.594922916	0.901639344	0.927142089	0.401988238	-0.292080935	0.924528302	0.952736053	0.303039449	0.911719781	0.923566879	0.94863472	0.246786588	0.863493012	1	1.002087371	1.263387483	0.68024533	0.992753623	0.989060885	1.747415922	0.23515095	1	1.184144108	0.068478695	5.627306894	1.027027027	1.017468988	2.015149511	0.549473537	0.924528302	0.952736053	0.303039449	0.911719781	0.907284768	0.940882541	0.260332178	0.717963098
TE0005708	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0005709	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0005710	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0005711	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0005712	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0005713	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
