SID	zhi_lbp1	zhi_lbp2	zhi_lbp3	zhi_lbp4	zhi_lbp5	zhi_hog1	zhi_hog2	zhi_hog3	zhi_hog4	zhi_hog5	zhi_contrast	zhi_dissimilarity	zhi_homogeneity	zhi_energy	zhi_correlation	zhi_entropy
TE0001765	30134	9968	12429	9321	19433	366333	20623	520	82	27	63.02365837	2.35795133	0.790221871	0.73550941	0.775861592	6.481431565
TE0001766	53356	17567	23807	20435	38835	525395	35968	800	91	48	88.50882348	3.091317492	0.732295626	0.654739404	0.840322853	6.764133624
TE0001767	48705	16033	18795	15713	32698	461325	29726	685	62	34	90.66857843	3.327302195	0.728321633	0.661208543	0.728465022	6.516340325
TE0001768	25668	7836	11820	10413	21458	396633	19666	570	75	44	45.18489857	1.580067298	0.846010306	0.771358938	0.873462072	6.845725063
TE0001769	49982	16248	23278	18016	34724	619067	34449	1120	134	34	64.35047093	2.295220552	0.791983074	0.726745066	0.8189652	6.511973098
TE0001770	51037	15921	22638	19666	40925	637668	38205	1091	131	65	68.42479587	2.309392973	0.790834062	0.720376295	0.824636006	6.605138486
TE0001771	47709	15990	22586	18273	39115	506720	31473	1064	168	35	55.65894153	2.248388001	0.759519554	0.669956244	0.855327729	6.609232087
TE0001772	25254	8603	10289	7440	13508	486794	22968	995	140	51	60.525	1.832329524	0.86875569	0.836587498	0.804308915	6.964165524
TE0001773	29179	9022	12722	8619	20401	410137	22714	711	133	60	54.81390448	1.941917024	0.827152756	0.770290077	0.78709221	6.529635739
TE0001774	41809	13773	20061	16151	32185	541595	28592	864	110	51	62.66811904	2.145901414	0.80477545	0.730907224	0.830915827	6.755549189
TE0001775	32610	11831	15738	14346	31073	505623	25029	647	91	51	40.18343779	1.66645956	0.829038131	0.754640518	0.795731821	6.320735644
TE0001776	26497	7507	9129	7014	16096	441250	24308	812	139	51	48.16946568	1.840334085	0.851145828	0.817382315	0.659580712	6.305101194
TE0001777	24730	9530	12184	10172	17889	334688	17274	455	65	30	58.15528671	2.118757331	0.8039332	0.739824931	0.848833476	6.782665558
TE0001778	24575	9067	14682	10926	23857	360799	18771	746	94	47	54.6613737	1.779542099	0.822318747	0.73313346	0.890208002	6.767409243
TE0001779	49057	16535	20405	16528	35577	470033	25812	714	88	45	85.87128488	3.383990145	0.713853225	0.652360194	0.743118896	6.474880032
