SID	fissure_cnnPC1	fissure_cnnPC2	fissure_cnnPC3	fissure_cnnPC4	fissure_cnnPC5	fissure_cnnPC6	fissure_cnnPC7	fissure_cnnPC8	fissure_cnnPC9	fissure_cnnPC10
TE0003976	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003977	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003978	-1.5968411	-6.192444	-1.8980681	0.7671433	6.945034	9.669106	0.98532355	-11.261461	2.951581	0.75351614
TE0003979	-25.87369	10.715799	10.365622	0.053389728	-4.210277	1.4312876	6.50046	-7.7202454	4.263514	2.2946334
TE0003980	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003981	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003982	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003983	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003984	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003985	-16.762335	14.008985	-1.3589853	-4.2775807	1.4897205	7.594165	-2.3178189	3.7102244	-3.813693	-0.5405293
TE0003986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003987	-13.521363	1.866162	-5.532344	27.625256	-4.739238	0.13357438	3.1797054	2.2374885	-4.9902925	3.6969125
TE0003988	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003989	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003990	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003992	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003993	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003994	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003995	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003996	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003997	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003998	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003999	-9.747607	-7.96769	-11.253522	-11.69449	8.1265955	9.1004505	-14.1667385	5.6423078	-8.979354	3.7920399
TE0004000	-6.297421	-0.61105376	9.39072	-3.8040056	10.591977	-0.4185139	4.685261	2.3039494	-12.304435	-0.38279274
TE0004001	-4.1968513	1.0048888	-4.416142	-15.831854	1.5042061	2.149552	-6.649622	-6.964223	0.37519804	-6.1790643
TE0004002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004003	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004004	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004006	-16.481678	11.221612	21.893793	-16.402094	-16.190805	-3.6151745	6.527098	-9.775059	-4.927899	3.7302783
TE0004007	7.369953	1.879231	-9.460256	3.6032126	3.833261	3.7622058	1.7530053	-6.8219995	-4.2187543	-8.900213
TE0004008	-10.277799	-2.0879884	-1.1720407	0.28273094	1.9355979	2.4268506	0.94674015	-3.6709385	-7.3474426	6.0079994
TE0004009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004013	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004014	15.445841	-12.809622	-6.3308845	4.362848	-3.6692162	-12.38168	-4.9700823	3.3797884	-3.0471735	-1.9792879
TE0004015	-28.350508	3.103234	-2.8329737	-5.06259	-1.2604983	0.65610933	-0.91445005	2.2331512	-6.954497	-5.0736947
TE0004016	-8.885615	-2.6769557	37.878193	-13.686034	-15.968809	-3.4540102	17.204021	-14.750637	6.0203056	2.3619351
TE0004017	28.608618	-12.051413	2.4223557	-3.8534036	1.0089853	-3.515914	-14.067084	-0.55815387	8.844869	-1.2599968
TE0004018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004019	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004020	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004022	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004023	-4.834206	-19.418516	-3.9790123	17.723106	4.157079	17.214296	5.7263365	1.0260963	11.4893675	-6.5811653
TE0004024	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004025	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004026	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004027	-13.34584	13.912633	-11.190784	-5.707783	-8.337822	4.7545066	-6.2394648	-0.6335674	-0.21145272	-6.1745315
TE0004028	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004029	-9.267947	-23.327305	-12.840549	0.2746194	-5.8862257	-0.09570965	6.363655	8.564798	14.993998	-3.897666
TE0004030	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004031	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004032	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004033	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004034	10.065153	-20.475397	-7.774224	-10.559604	11.445164	0.046223912	10.085564	2.0215771	9.138958	3.6969974
TE0004035	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004036	-4.5461335	-5.421358	-10.460837	7.0475855	14.284918	1.6661386	-3.77901	-8.276898	-0.20107579	-5.3195515
TE0004037	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004038	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004039	-11.866602	-0.60244024	4.712494	19.314667	1.9722393	-15.9042015	-4.5767283	-3.561172	-1.9796293	0.19137797
TE0004040	-3.9199297	-5.306463	-5.214963	3.0790195	-2.6757343	5.7697954	-0.20661503	-9.447038	3.459339	2.4258983
TE0004041	7.473674	-15.999168	-14.96329	17.880964	-2.9390962	3.8643823	6.532343	-3.8722064	3.021388	-5.624945
TE0004042	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004043	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004044	-11.093068	-12.321479	3.058396	-9.69003	-4.2158084	-7.1704574	-9.363551	-5.9406023	5.144198	1.843019
