SID	tai_lbp1	tai_lbp2	tai_lbp3	tai_lbp4	tai_lbp5	tai_hog1	tai_hog2	tai_hog3	tai_hog4	tai_hog5	tai_contrast	tai_dissimilarity	tai_homogeneity	tai_energy	tai_correlation	tai_entropy
TE0005866	17489	6221	8014	6606	19617	275055	19780	1408	148	69	93.49478119	2.575378886	0.810342972	0.756646419	0.832478346	7.035895879
TE0005867	18079	7161	13873	10858	32799	252623	18574	1068	81	57	88.75867123	2.174634828	0.786011365	0.637972272	0.884026936	6.885213586
TE0005868	27067	9716	15426	13015	39204	256884	21180	859	83	39	109.7386782	2.84145677	0.711897389	0.551286085	0.841328072	6.50419287
TE0005869	27492	10360	14029	11085	31533	306376	23218	1243	149	61	103.0488971	3.196849278	0.727007076	0.651342559	0.828469761	6.805497992
TE0005870	16695	5372	7688	6328	18186	285985	19036	1081	148	92	94.71380925	2.484865791	0.829354739	0.779872388	0.808567455	7.057521353
TE0005871	29136	11899	28468	23667	65267	410959	33649	1349	115	76	105.7390971	2.236651847	0.775645174	0.571031991	0.888876805	6.576960536
TE0005872	23735	11963	16852	13574	29221	230189	17548	662	66	43	119.3239074	3.416089777	0.652510186	0.536459084	0.884330698	6.552564504
TE0005873	29292	11541	17606	14597	41658	324688	24376	1528	139	80	125.0012674	2.868137202	0.728392522	0.601891449	0.897542717	6.72039368
TE0005874	8556	3151	5289	4497	18710	248897	13911	1311	175	90	83.71128087	1.629364385	0.882644116	0.814163995	0.83619861	7.115040334
TE0005875	23784	11124	21666	18037	47899	258938	20789	828	76	34	103.7232087	2.257297621	0.717566135	0.4833684	0.896813463	6.454793241
TE0005876	29551	11812	18133	15051	41609	286486	23470	963	71	50	115.2637024	3.240885461	0.692601864	0.550268211	0.913418855	7.128775189
TE0005877	20292	7910	12524	9865	30148	281424	20493	868	91	64	111.5581309	2.656769302	0.778538513	0.675297043	0.898882379	7.033317287
TE0005878	28360	11349	17365	14110	39636	367810	24667	1276	158	73	89.9329619	2.417307692	0.765619384	0.657017769	0.861908514	6.592341853
TE0005879	22530	9789	14864	11361	29070	243337	17464	879	147	46	124.7858845	3.059416317	0.709655775	0.594471828	0.818214794	6.207949132
TE0005880	15744	7419	12097	11672	26875	182841	14605	737	82	23	86.11237039	2.370675302	0.726584846	0.567194091	0.909793583	6.807575393
TE0005881	14841	5751	9865	7395	20795	193590	12978	853	55	46	102.7480436	2.350780916	0.777143258	0.66920923	0.846470667	6.630624806
TE0005882	24440	8426	14671	11602	39779	289526	22280	1054	79	45	125.5841925	2.755879804	0.764535974	0.618522891	0.918094197	6.79056154
