SID	zhi_cnnPC1	zhi_cnnPC2	zhi_cnnPC3	zhi_cnnPC4	zhi_cnnPC5	zhi_cnnPC6	zhi_cnnPC7	zhi_cnnPC8	zhi_cnnPC9	zhi_cnnPC10
TE0003954	15.387762	29.74423	21.817741	9.8362055	-30.063087	-7.823993	-13.790112	36.298122	6.9045796	-3.7098207
TE0003955	57.130913	34.569927	0.06775759	12.444403	49.77276	-8.943569	5.0402226	-9.633885	23.691427	-13.666576
TE0003956	1.602825	42.5894	-3.103805	-36.890057	-16.983547	-9.049276	-27.180048	-13.900069	32.529037	-13.995621
TE0003957	20.176945	-24.51044	-32.8906	-16.48539	57.468212	-6.382843	-3.4610062	0.24946909	9.52716	-3.2154279
TE0003958	-13.382017	59.002075	-4.951836	-64.57295	-6.311229	30.522081	-12.409373	16.800474	11.590577	-23.800127
TE0003959	18.091658	7.58142	2.622214	-15.32043	-4.675788	-18.195473	-1.1457361	-12.818842	9.276881	-10.81754
TE0003960	-5.8884926	-27.243477	37.209713	55.58931	5.243016	18.945452	-20.711063	-8.9834175	-7.759422	9.719495
TE0003961	6.6631994	21.274626	11.710472	-12.576948	-4.8904643	-8.482819	14.755063	-3.7149732	8.060858	-12.845871
TE0003962	57.623997	35.373688	-7.320521	-22.356396	38.350384	7.9169116	-30.400215	-12.526123	19.190405	23.122463
TE0003963	86.21109	-37.951084	34.200264	-21.081583	6.517008	64.86355	9.093655	21.77408	-19.423462	-20.192558
TE0003964	-17.480436	72.84816	-32.706043	-31.357374	-22.965176	3.5849738	-46.216927	7.3035817	-14.438762	8.407451
TE0003965	13.227324	-25.864311	2.1217873	-4.3422294	6.993595	48.211666	0.64035904	-7.1666274	17.002422	-4.4860797
TE0003966	2.971601	37.61285	11.651251	38.102173	6.7898984	-10.087315	38.339027	-1.1295393	14.42279	-17.068047
TE0003967	45.909824	5.1244774	10.944923	-8.625866	-29.728134	17.701708	12.174912	10.809406	6.530308	-2.509659
TE0003968	1.0935366	2.4979768	-16.298395	-9.697937	-1.9695492	-34.663982	48.7599	-10.687831	-2.7153707	-9.00329
TE0003969	4.9200115	-38.22556	-15.6638365	12.202512	27.71267	2.2356207	-44.973408	-2.8861485	12.447416	-11.356956
TE0003970	-27.919548	70.70942	8.046126	-2.9624815	6.4334555	-12.939622	-30.048153	21.582203	15.704656	-3.5388458
TE0003971	8.600271	51.66378	19.129759	-16.78868	-26.088535	14.817859	-42.59935	25.755714	21.571972	-4.6873016
TE0003972	37.33632	10.012887	-18.095455	-17.581844	2.5697193	6.857954	3.7893894	-11.788469	20.090403	-4.4112444
TE0003973	-25.790573	11.01398	-30.609144	10.580805	5.741442	26.981697	1.2353929	-2.0488665	-17.573551	-22.633146
TE0003974	-16.001772	51.56635	-5.3256707	-11.071894	-11.458895	-19.634298	-14.545855	-5.244312	-26.002598	-9.539169
TE0003975	-23.042406	16.290327	20.991306	22.92522	19.70264	-11.242909	-3.9003263	8.070115	-13.366666	-0.67565507
TE0003976	11.055305	5.3004265	-26.288116	-21.558146	-21.166868	2.8820336	-21.65977	1.7725465	3.0158582	12.804036
TE0003977	-13.189876	5.616083	-4.914279	-21.463089	6.389487	-5.0341682	3.6057804	3.2583995	-6.810161	-4.5857534
TE0003978	28.497082	-22.80921	-21.801992	38.577934	1.1207417	31.790924	10.641353	37.159874	-4.7463117	2.6341908
TE0003979	-47.574497	-16.998163	5.7211423	-32.84648	14.692433	11.168106	-9.00784	40.750507	13.605662	-3.468513
TE0003980	-39.489925	7.074135	-49.476776	0.20768347	-42.03971	34.46517	18.563732	-5.7448845	2.217941	2.0214052
TE0003981	-60.976215	-29.69989	7.52695	-38.57358	-19.9056	4.137244	13.707344	8.767863	13.870971	23.982338
TE0003982	43.737526	9.316417	-48.145542	-7.2791567	-7.986255	59.339645	10.448647	-23.058084	10.28223	14.644863
TE0003983	-13.228285	41.8186	-7.814657	-4.711669	-28.197823	12.5127735	-16.46495	24.31414	23.507431	8.504131
TE0003984	44.530113	-59.885628	18.205828	-37.425724	-19.027092	29.712412	-14.14281	9.550576	23.448185	-11.922963
TE0003985	-59.380707	-40.28251	6.2059765	-20.482256	18.414097	-18.081572	-5.448207	2.779348	16.684465	22.091103
TE0003986	16.997622	-6.772576	-4.4966817	-30.782694	-13.7799835	1.5163991	14.188752	25.890293	-4.551718	-7.659093
TE0003987	3.3494751	46.39826	5.707786	0.7253733	22.425352	-36.904404	-31.242277	7.0023246	-9.354975	15.362748
TE0003988	30.447414	7.741237	11.905267	11.069038	6.836215	-3.9039483	22.749796	17.669287	30.345377	-9.400455
TE0003989	-2.826637	0.33807483	-21.152643	-15.932966	-16.964993	-34.17118	21.241695	-4.342903	3.6521041	1.5197678
TE0003990	53.784004	-8.910822	3.366398	2.3733149	11.691767	-29.247135	-8.99283	27.4538	-5.820356	9.961991
TE0003991	-30.241562	-21.936323	-12.635525	-2.4097545	57.829407	19.92278	-3.6610703	-0.12840275	-2.267681	-14.769847
TE0003992	-42.01408	-21.074543	0.11337246	15.704461	-9.1054125	3.0708642	-24.137045	17.292778	-15.494507	0.8767265
TE0003993	18.349617	42.5718	3.564564	-13.2962055	-27.359465	-36.404137	-10.00023	22.823336	-14.753107	14.089924
TE0003994	-4.098999	-38.81732	-12.528036	-11.393924	-2.746692	2.0230138	17.06498	25.040272	8.899915	20.473425
TE0003995	89.1563	8.715709	-20.954983	-10.538358	-22.526964	15.782456	3.6681674	1.09046	6.922698	2.8948529
TE0003996	-28.638672	-24.858469	-11.9252615	-22.561623	-33.777256	-25.58192	12.330076	26.194193	-5.134694	-18.485928
TE0003997	-15.301414	45.19923	53.39509	-22.205395	-8.510099	14.294165	0.930281	12.54962	-10.162694	-2.7224689
TE0003998	14.98859	64.82549	20.246706	-36.876144	-0.8705957	0.6240275	-9.096293	-2.732244	10.704287	-2.4167452
TE0003999	45.8839	10.117897	13.321613	-21.756659	7.717688	-23.971825	16.93638	7.4348145	23.702002	0.5022002
TE0004000	-23.367136	-5.1601853	-10.653494	-5.776461	-3.604754	-8.089389	23.488317	9.129328	7.7524185	-7.733231
TE0004001	-22.136974	-9.471448	-45.953037	24.613142	-38.096924	23.434355	29.172266	16.842152	5.6181254	-11.727567
TE0004002	63.7535	28.403658	-9.347125	-15.217861	-19.223614	-20.744633	24.502337	-0.6223232	1.7167375	-2.6252296
TE0004003	-0.12110828	14.094182	25.312979	10.0039835	10.966936	9.986679	16.544167	12.409907	11.768394	-17.94786
TE0004004	-44.299786	50.778393	-20.087381	-14.228971	30.36285	7.188679	-15.927017	-27.268116	0.39204732	-17.255705
TE0004005	-66.52904	14.98401	-6.7334237	-29.065434	19.78387	0.70127434	10.387698	-8.289468	0.09940736	-5.5225086
TE0004006	22.625147	32.806347	-2.5726264	-26.491024	-12.579603	-18.069695	-24.07741	9.10904	9.622754	33.125484
TE0004007	11.355056	-27.456614	-44.02376	-3.0877984	-0.69403076	31.850822	-10.373353	10.485575	-13.735092	-5.0564117
TE0004008	-31.7988	-23.678753	-47.719757	1.696816	12.368509	4.467919	-19.806372	-9.256132	-13.594332	-3.121642
TE0004009	3.7929401	15.513556	-58.991207	-42.449593	26.895767	10.09486	22.83912	-11.350692	-23.694254	15.734671
TE0004010	-33.176395	20.296923	-19.613697	8.157255	5.7246013	-4.9527664	-5.3769393	-5.801176	6.1024523	-3.7539263
TE0004011	-0.5837301	37.983322	9.365527	-34.576546	-17.043467	8.917956	-20.456219	-33.42084	27.928646	-20.272205
TE0004012	72.23881	40.75138	-39.049824	-37.692303	-2.5114865	10.223127	13.899441	-16.24332	1.4738377	-1.6084964
TE0004013	-0.61532867	44.939613	-2.2160873	6.0964303	21.896309	17.108744	-7.1710906	22.820753	-6.875107	-17.689707
TE0004014	-41.803497	-36.082268	-29.462055	18.291468	-8.128553	-25.763792	-7.3482785	-2.2662733	12.571237	-2.7026036
TE0004015	3.280293	-5.253994	-29.71148	-14.812738	-32.59078	6.46724	21.023043	-6.521704	0.547487	-6.0125117
TE0004016	16.870619	-0.45019487	-13.53271	20.073063	-17.028187	-18.257595	14.714882	-7.330932	17.23661	0.29283056
TE0004017	31.573973	4.2888412	-36.65141	-29.044506	1.3651913	21.049345	7.055168	1.5063163	-8.872869	0.60756207
TE0004018	39.147858	20.737648	4.027212	4.914578	-11.450451	2.0311666	-21.28396	-3.038602	24.17463	6.836702
TE0004019	38.82355	-20.661959	-37.32854	-25.890574	17.511078	-21.849699	1.216799	4.5641255	-43.07529	23.588373
TE0004020	-23.027176	-24.66657	-8.273012	-12.682084	0.17789777	-22.207964	30.059837	7.073482	7.317998	17.153915
TE0004021	31.918026	60.17869	-20.317947	-8.729183	1.2743988	-25.998749	-34.749657	0.08236973	12.122143	-9.853605
TE0004022	13.66476	30.051956	-63.51118	-8.069243	-53.20777	46.35506	1.7691244	-3.7480552	-4.768169	-5.4701996
TE0004023	30.835379	22.4129	-37.552273	-15.3349495	-18.763853	1.3844113	19.240103	0.48529053	1.1570414	-20.664871
TE0004024	-42.55814	-14.533586	-42.300957	-31.961058	10.269994	36.101185	16.40734	-9.321692	-23.706114	6.283088
TE0004025	-26.151827	37.307034	-15.464221	-41.966885	-29.389366	0.9610013	-19.91377	7.1257133	-10.625713	-8.318996
TE0004026	11.241149	29.458797	11.490161	-38.473316	-16.743856	-31.893215	-5.2682166	22.9182	-9.36561	3.9403422
TE0004027	16.91881	19.113924	-2.5003047	-35.066933	-14.404812	-37.055798	-4.147479	-2.4949741	-15.782575	-14.683979
TE0004028	-7.871759	-17.608278	-42.53559	-3.4510937	-2.5477266	27.281036	31.865171	-10.944889	18.251162	11.288191
TE0004029	-32.332005	-1.9528147	-44.04084	37.109848	-24.847162	43.38148	-26.873356	2.7698858	-6.2648964	1.374705
TE0004030	-18.100922	15.246731	-44.136475	15.538557	-34.1066	-0.04926262	6.564742	13.819564	9.365568	9.980701
TE0004031	15.737511	-8.385361	-37.593613	-5.6466007	-21.3954	31.098507	-3.9101255	-14.850671	17.091604	2.6602364
TE0004032	-16.128305	25.257595	-42.27069	12.818846	-38.441364	22.334959	-12.578091	3.4755824	20.166904	7.724855
TE0004033	29.275673	22.544796	-22.59692	-12.897706	-38.672836	23.47555	-12.539218	1.8955933	16.722004	16.717974
TE0004034	13.472207	-46.745373	-7.318038	-0.95360196	-6.177616	-2.3275483	-10.506867	2.467502	6.1845007	21.229023
TE0004035	15.966909	-9.964138	-23.310598	-24.330671	-4.1733055	-36.65888	-8.060177	7.8795485	-9.317842	1.8840427
TE0004036	-4.5693326	35.476147	6.3899503	3.9445348	-45.248768	15.167112	-39.32437	-3.2885385	32.22443	-7.264675
TE0004037	-2.4349024	-13.236799	-64.976036	24.76716	-31.985308	40.0621	6.809159	9.777463	-0.8962211	13.639919
TE0004038	9.529064	39.58443	-40.540035	12.553423	57.561512	-8.530311	28.670334	-5.1415014	-16.442652	-0.043347016
TE0004039	-47.530148	-32.14357	-3.4439719	12.284274	9.797266	-16.013613	-29.156776	-9.230912	-1.6139045	-14.171134
TE0004040	-3.0124838	-3.640858	-24.95876	-16.466364	-31.965572	0.32291105	-2.2769485	-0.66097724	3.5664632	16.739933
TE0004041	26.736084	25.525553	-39.951664	-12.700373	-32.31866	6.137532	-8.853535	6.778076	-9.665366	-1.3039082
TE0004042	-43.289722	-27.868437	-40.415634	17.89606	-9.238641	-3.0067954	10.996615	17.808815	-7.779402	3.275272
TE0004043	75.486206	-13.61886	-11.550663	-7.7727165	18.4024	14.8964205	-31.217794	-3.9481616	31.778448	-10.866354
TE0004044	-4.8862214	26.9846	-44.764286	6.1590924	-40.60496	4.7813163	14.288926	6.9506497	7.8164797	-11.510639
TE0004045	26.73039	4.367575	-13.295099	11.810774	14.57667	2.6914515	-2.9456384	21.135035	-26.318003	-2.6757233
TE0004046	-27.50096	11.930317	2.1642046	-33.251457	-34.399864	13.640203	-20.102455	42.27251	25.902225	-10.462216
TE0004047	7.9346724	-39.431034	-6.595557	-0.7282335	-28.933172	-5.4731665	-9.668397	-8.036918	17.85831	9.984462
TE0004048	44.219105	-20.878565	-18.615227	2.8987732	14.639488	0.12682536	1.0896677	12.104731	9.969144	11.596033
TE0004049	-3.2269325	-0.2888773	-14.204468	-0.9048865	-11.62639	7.0581117	-12.449663	-12.636221	19.053709	10.879963
TE0004050	-62.832798	-3.5225122	-37.87146	-24.788387	-4.596289	25.843643	-3.434113	-16.89074	-14.366006	17.081747
TE0004051	8.640503	27.971115	-13.905391	-18.475464	-59.580853	2.3373983	-28.481575	-15.672761	15.813398	11.818766
TE0004052	57.861095	20.383146	-14.824403	21.709553	20.294775	-22.732662	21.15161	0.5697852	39.28207	13.937522
TE0004053	6.8118806	18.11523	-42.385273	-6.645988	-21.172737	-24.97713	17.145964	24.916088	-31.357224	-7.344545
TE0004054	48.69099	-29.669516	3.9921553	24.969715	25.008589	-17.857819	8.05244	6.9031367	2.9237084	4.7850266
TE0004055	23.428165	-48.335983	0.7360945	5.0766525	-19.763422	24.243303	-45.347645	3.2453406	20.040598	14.107453
TE0004056	-39.994495	31.135817	-4.745627	-54.3014	-26.214802	22.662306	-18.05473	-1.8934463	22.580704	-9.812024
TE0004057	-4.917639	-1.848801	-30.863993	12.51054	-22.550848	-1.7066852	26.28434	5.925073	8.781048	-13.394349
TE0004058	-3.6132092	24.953636	-33.567223	12.941332	-11.49136	-18.159155	48.817207	-13.541397	13.650383	-19.678343
TE0004059	42.39862	30.53178	-23.32366	52.73173	-17.246895	3.8122509	1.8104359	-9.910037	16.62921	9.833303
TE0004060	-54.29403	-47.337185	-4.247319	-49.50504	-24.851236	-4.552592	22.72406	-2.2095351	4.676556	1.0112803
TE0004061	-22.579084	10.219177	-57.439445	-5.541998	-8.5048895	28.070805	16.493805	-5.4564204	-5.695587	-7.926324
TE0004062	0.044824827	-29.037039	-35.084064	49.96996	-14.112803	33.587383	2.6027598	3.210431	-3.9620192	-4.612563
TE0004063	-36.67532	11.500078	-20.403719	-59.025543	-1.1519024	2.2692783	-2.3506641	-4.621768	-15.297795	-6.609024
TE0004064	27.606045	13.847562	-9.973921	32.14566	9.915786	-4.3276834	-17.331835	23.253134	-6.182599	-5.769155
