SID	tooth_mk_cnnPC1	tooth_mk_cnnPC2	tooth_mk_cnnPC3	tooth_mk_cnnPC4	tooth_mk_cnnPC5	tooth_mk_cnnPC6	tooth_mk_cnnPC7	tooth_mk_cnnPC8	tooth_mk_cnnPC9	tooth_mk_cnnPC10
TE0003970	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003971	-33.118034	-2.6166847	7.931165	-9.100416	5.029092	2.4288337	-3.6732051	13.172916	4.8014545	10.794933
TE0003972	43.489952	-26.542746	-12.322872	-2.8266478	3.2568593	-1.9913667	-2.6860287	-10.77815	1.7628382	7.160204
TE0003973	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003974	26.889585	-15.190048	11.269941	-3.0907853	26.417294	-13.444636	5.784656	-14.185899	6.2888317	-9.073035
TE0003975	-21.254494	25.227295	-0.84137815	-2.3369627	17.838425	-10.27556	-3.1410604	4.0087605	0.5301928	-14.253755
TE0003976	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003977	39.92036	-11.358394	-18.621506	7.496752	9.672044	-14.801199	8.251692	15.90308	-2.687044	10.305344
TE0003978	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003979	12.429505	-5.21985	-0.86004764	1.9276628	1.7305938	-21.180304	11.966343	7.4734807	-8.868126	1.7289648
TE0003980	20.570301	-0.5130581	16.903212	-8.606106	-22.692596	-11.876225	0.22566515	5.497338	10.376439	8.330597
TE0003981	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003982	-2.1855965	0.20683992	-13.338252	-11.833153	-15.325698	-1.836504	10.67286	-0.4134933	-0.7568012	0.6778644
TE0003983	-0.45167992	9.686317	14.052327	-2.4990275	0.37604287	-0.67657125	1.4575421	1.2687446	-7.8291125	4.602201
TE0003984	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003987	37.051975	-31.133268	20.319674	14.382159	23.160572	-4.1666346	-6.928615	0.580639	6.619522	12.98114
TE0003988	71.22385	1.5041826	-13.733396	-5.198567	14.3122225	-13.776227	-4.0592065	-9.964212	22.928316	-4.532573
TE0003989	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003990	31.406088	-1.3839549	19.527594	9.128096	-11.524347	0.9099797	-14.285924	-11.580763	2.7162833	0.2830888
TE0003991	-27.089823	-3.5839403	-23.390167	10.272765	-7.238199	-4.5291405	3.0384667	0.37166485	-4.578912	2.0201151
TE0003992	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003993	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003994	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003995	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003996	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003997	-23.037756	2.665012	0.37082088	13.676374	-4.548722	-9.904464	-5.5267715	1.4634582	-8.210966	5.425057
TE0003998	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003999	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004002	23.553606	41.79433	-3.731319	-0.8273029	14.083836	-13.437547	-4.6364374	2.2666905	2.740779	0.8187071
TE0004003	-44.103287	8.037774	-0.47528282	6.326031	0.05472864	-4.226707	-0.8329838	-6.626923	-3.649624	3.6975539
TE0004004	36.433846	-18.33106	-3.9811277	-0.14065501	9.102909	4.4258175	16.111715	-1.8870561	2.4180703	7.7609143
TE0004005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004006	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004008	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
