SID	tooth_mk_cnnPC1	tooth_mk_cnnPC2	tooth_mk_cnnPC3	tooth_mk_cnnPC4	tooth_mk_cnnPC5	tooth_mk_cnnPC6	tooth_mk_cnnPC7	tooth_mk_cnnPC8	tooth_mk_cnnPC9	tooth_mk_cnnPC10
TE0004605	7.687426	-21.457785	23.034891	-2.6776843	-8.690074	-5.497087	-1.9888185	-5.3728223	6.443765	-5.6735554
TE0004606	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004607	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004608	27.947355	-22.100058	-7.454417	-3.0308676	6.2478456	-10.293497	14.169565	-11.547219	-13.739125	-3.5535858
TE0004609	10.553118	-21.744556	-13.674454	3.7074986	-4.9287314	2.0563998	-6.5270853	-2.3231423	-4.6462574	-9.579062
TE0004610	-27.833738	11.919882	1.8989931	-9.697735	0.51620233	13.269168	12.226609	1.691782	2.942557	-1.0997026
TE0004611	-35.861958	12.609741	-6.512896	6.255932	-0.8336877	-3.3680043	-3.4534516	-10.291372	4.1732073	3.9255023
TE0004612	-60.834774	0.5887089	-2.5614183	4.146006	3.4932206	2.1050208	1.188185	1.162796	-0.29019862	-1.0609676
TE0004613	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004614	-60.834774	0.5887089	-2.5614183	4.146006	3.4932206	2.1050208	1.188185	1.162796	-0.29019862	-1.0609676
TE0004615	10.88271	-8.341285	2.2966232	-1.9885621	-17.089624	-10.755721	-8.879796	5.4891	10.816625	4.8807983
TE0004616	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004617	5.0543795	-6.6263804	-5.555873	-6.266085	-18.516489	3.633845	-10.082534	0.8673324	-2.2208276	-5.1436067
TE0004618	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004619	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004620	-17.03611	-6.4409647	-28.690186	14.394238	-11.381175	-5.831278	-0.091811895	5.4383583	-2.4539423	-1.7029065
TE0004621	12.085617	3.933284	0.8489614	-5.899722	-22.292753	-3.9390173	-6.6815724	-8.061484	2.0731225	-3.377975
TE0004622	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004623	-23.337603	-3.5057807	8.607584	-22.724165	-7.0544677	0.29332083	1.8372195	-0.7689547	3.1372316	0.7908609
TE0004624	10.625007	-6.3645053	-10.450303	8.000632	-12.848431	12.637581	1.0076183	-2.3670306	-10.6547365	-3.3907487
TE0004625	59.00981	-27.253849	18.821121	-3.4364164	15.773744	10.538242	-10.55294	3.66495	5.3151546	-8.337429
TE0004626	63.683628	-11.014101	-5.7820964	1.126413	17.025658	20.003574	8.542863	-16.077856	7.058173	-4.5929484
TE0004627	36.195934	23.075346	22.209618	-6.062578	15.965029	-7.6402183	-9.6853075	0.3173576	-10.511249	0.6368996
TE0004628	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004629	-26.116024	20.905647	-2.2037969	-13.560981	9.592718	-11.904847	8.180174	3.5655208	-2.202703	-9.187665
TE0004630	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004631	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004632	26.327496	-8.200548	7.1583223	-9.151718	19.5395	-17.874681	5.523479	-1.5106497	6.093227	1.8592769
TE0004633	15.002348	-7.72977	14.008064	7.0191693	-2.4521496	0.46638364	-12.396466	5.770608	-15.714183	6.816541
TE0004634	29.495512	-5.4062967	12.094956	12.700903	29.864426	11.794064	2.7540898	-9.091368	2.4093678	10.322326
TE0004635	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004636	32.518574	-24.319904	1.247042	-12.830953	1.8604898	6.5936437	-6.0729103	-9.69453	-0.63157976	7.6137934
TE0004637	23.795307	-19.921934	-0.58991796	-2.0682244	-6.613539	-1.2126025	5.849433	-3.847869	-0.5855587	-4.7931185
TE0004638	-8.498132	17.640175	5.876747	19.045557	4.3840914	-3.7485135	-15.711136	5.639353	-0.046189323	-2.1298892
TE0004639	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004640	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004641	-60.834774	0.5887089	-2.5614183	4.146006	3.4932206	2.1050208	1.188185	1.162796	-0.29019862	-1.0609676
TE0004642	-11.351105	13.013542	-1.6720909	-6.808441	-7.553897	-6.4833965	4.307206	-3.902581	-2.5795734	7.141244
TE0004643	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004644	-8.038093	-5.8816833	-17.299349	-7.388197	-1.9808141	-13.748814	14.078854	-0.02873723	0.6609968	-1.1244164
TE0004645	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004646	-41.814793	-7.559798	-13.84104	5.6135817	8.710178	0.50079054	3.607816	-5.6313543	4.9968195	3.0152073
TE0004647	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004648	6.7168474	7.3668656	3.974207	-11.115744	-18.329266	-6.695048	-4.9781795	-6.477117	14.4074135	4.1889644
TE0004649	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004650	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004651	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004652	-27.64945	-9.681732	-21.295042	10.807012	-0.19541068	-1.7217985	8.198815	-0.049588587	-2.432772	-1.4021667
TE0004653	-0.046723504	-7.354913	25.485312	1.9087547	-7.702685	-5.7205286	5.15867	-0.30203298	-5.235809	-2.6756117
TE0004654	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004655	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004656	-24.463858	22.239786	4.993157	10.37483	7.773312	0.4735086	-6.506206	-8.155356	2.5508037	-1.9545689
TE0004657	-36.362846	0.7159569	4.118628	14.071902	-2.2580264	5.153255	-0.7605229	1.5273349	-0.6648231	7.566831
TE0004658	42.12075	15.6918955	11.756217	-14.043075	8.729042	8.254077	-14.02689	7.9972205	-2.991713	-6.4331
TE0004659	-25.122028	-1.6555676	0.23675463	-21.525414	-3.5784397	2.725835	3.2932749	-2.6827326	-4.294601	1.7920585
TE0004660	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004661	30.102665	-14.432214	12.897888	3.8616133	-4.4135714	-15.85239	7.751448	2.0148232	-4.6644406	-4.7076125
TE0004662	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004663	-26.954638	-7.222951	-2.6260126	-17.360832	-1.0728225	3.7119815	-6.5816455	0.73512524	-3.913797	-3.5042925
TE0004664	-30.96785	-7.3656106	-16.429995	-12.756202	-1.2665983	13.4968405	-4.423076	2.5816212	-8.873575	-4.315315
TE0004665	-38.34808	-4.2186975	2.3387022	-11.089019	-4.9421153	2.549512	-2.5899336	-0.051614493	2.396112	-4.6598206
TE0004666	-33.17681	16.16523	-3.1934025	7.584028	2.445198	-4.3485823	-6.074167	-7.4922824	2.4923036	2.3502555
TE0004667	-23.668274	-14.0992155	-13.368245	11.944769	5.5046406	-2.2980766	7.6652393	-3.7878156	5.1678085	1.1764342
TE0004668	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004669	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004670	-4.607562	23.032053	4.2911363	-6.664173	-3.4634426	-12.272701	-5.490954	-9.542948	3.2303185	-5.023123
TE0004671	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004672	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004673	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004674	-20.154984	-17.028835	-4.0270915	12.187868	15.217511	-6.161158	5.0946507	-3.12155	11.176395	0.45725894
TE0004675	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004676	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004677	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004678	-19.844505	-4.723592	-1.1980106	16.472065	-11.783819	-9.683865	-1.5693432	-0.7302236	-2.122624	-2.9124355
TE0004679	36.458908	-12.0645485	-5.93058	-3.1604264	-2.592525	-15.249545	-4.0266943	8.067075	0.04991438	-8.187243
TE0004680	50.61019	11.641347	-8.40517	2.5753274	3.3784604	23.145832	5.264974	-0.99458385	6.597014	2.1103446
TE0004681	21.423811	-26.117435	21.332727	6.6199656	-0.07824496	4.474597	-5.0458126	-7.8473554	-6.7781205	-5.6902833
TE0004682	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004683	-10.541543	-1.8947428	-24.759789	-4.517712	-14.1449585	-7.137762	1.8518964	-0.6034553	0.83797544	4.5465975
TE0004684	17.57521	-18.548714	6.75294	-0.15183328	-14.06424	-15.520037	-5.924269	0.17668982	1.7943223	-11.811941
TE0004685	-10.358536	5.0259666	9.804514	-16.58279	0.35250002	23.319105	8.785266	9.071839	9.3243065	2.8464053
TE0004686	-2.7520642	11.418728	23.15874	-0.9126347	-3.6466877	5.8006988	9.08078	-3.8857014	-5.2579236	6.1776958
TE0004687	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004688	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004689	19.855787	16.528345	4.003664	0.9724786	-18.609344	10.773016	-2.9779255	-2.9149234	8.186324	4.817239
TE0004690	-7.466527	12.237536	-11.286272	10.556579	11.041227	-9.935199	-2.784487	-2.3298786	-2.9062612	-1.9398767
TE0004691	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004692	-36.99614	4.3232083	-2.047702	-9.131963	-5.013611	11.258223	8.904247	-0.26961404	0.24063085	-0.08302929
TE0004693	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004694	19.706388	-3.4979262	23.5678	-4.9834347	-21.25532	-11.506531	-6.994047	0.5597504	-1.1589689	-1.2973584
TE0004695	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004696	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004697	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004698	8.508001	12.623014	11.234682	-0.39321765	-18.008205	8.667374	2.4023726	-11.041998	2.423184	0.07471389
TE0004699	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004700	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004701	16.892864	19.090183	6.8760805	31.293682	1.7016699	22.925667	-3.3379583	3.9504735	3.4560122	-9.029988
TE0004702	8.109933	13.792764	-0.9119194	1.80202	-12.79292	-12.629331	9.127402	-4.459174	-2.115056	-3.1450558
TE0004703	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004704	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004705	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004706	1.4051771	1.6821433	3.693248	1.5409603	3.6026375	-2.5314837	-9.604126	-2.0128312	-8.596444	5.783681
TE0004707	-20.533005	-14.499258	-7.6508064	-20.45726	0.681715	13.591106	-10.996269	3.7907484	-2.6146846	-0.7036637
TE0004708	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004709	-14.30782	29.214474	-1.9770819	-12.55227	16.45818	-13.189046	5.5011463	9.680406	1.3108867	-14.26088
TE0004710	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004711	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004712	-17.834488	-8.82962	-9.1013155	-19.961819	-5.002676	8.672392	-10.672268	7.396259	-1.6775858	-8.215428
TE0004713	53.70903	-2.3961885	11.817182	9.409615	2.0441506	1.6118871	14.6525955	-0.2690344	-7.8039546	0.001698683
TE0004714	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004715	-12.196882	4.5883975	10.546892	2.9602747	-12.483069	2.5128882	5.7395716	-4.63066	1.1508193	4.598854
TE0004716	2.9676313	10.4467745	2.3688476	24.04151	-7.087493	5.5398297	-1.064926	-8.453477	6.918468	-0.76141
TE0004717	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004718	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004719	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004720	-34.32841	8.299634	8.320118	-8.46063	-1.5768266	5.0487714	12.263012	0.9016092	3.73233	0.11217196
TE0004721	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004722	14.065101	-28.393953	-23.716007	6.3485546	12.553144	-1.068469	2.4653702	-5.8093214	-0.06595334	-0.21454999
TE0004723	-25.189777	14.814074	-6.803821	10.999887	-3.3298068	-2.7242584	-6.732679	-6.244604	2.3970437	2.869448
TE0004724	-23.31861	5.947912	-9.258683	-17.670856	-5.9701486	5.7701955	-3.8474126	7.7467203	6.1650057	-0.68347883
TE0004725	35.786514	-11.90534	-7.1476555	-1.163452	-6.581245	-9.380394	1.4796189	-8.536832	-9.017287	2.8491502
TE0004726	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004727	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004728	-18.269999	3.1239495	3.0665526	15.848708	-11.941993	-9.911952	-4.490891	-4.3473306	0.6133713	3.3057368
TE0004729	28.065	19.438166	-10.795727	5.2030935	-2.6236646	2.1785007	6.00455	5.257578	-2.7777607	5.760986
TE0004730	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004731	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004732	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004733	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004734	-42.340122	8.700551	-5.188687	-9.945283	1.9012923	-1.6720388	6.4311495	-2.7008455	0.47237253	1.6903712
TE0004735	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004736	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004737	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004738	15.219614	-29.782417	0.830229	1.1465409	19.293478	2.036291	1.2602035	-2.8817668	4.279245	-2.4717824
TE0004739	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004740	-36.83663	15.674324	-1.999858	-8.533393	8.437191	-6.3426228	7.2373905	2.3190112	-1.6165469	0.22890721
TE0004741	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004742	39.308186	-32.279217	16.626942	6.680258	1.3863785	-14.0872555	0.5424278	-1.5133978	9.1228285	-16.56391
TE0004743	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004744	-60.834774	0.5887089	-2.5614183	4.146006	3.4932206	2.1050208	1.188185	1.162796	-0.29019862	-1.0609676
TE0004745	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004746	2.2511683	10.489775	4.834696	-3.5974472	-14.361782	-9.194254	-4.7215695	-3.521699	5.4384375	9.345484
TE0004747	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004748	30.965576	-7.1897893	5.939082	4.500742	-19.23682	2.8965955	-3.8209634	1.0399464	1.513248	-5.895809
TE0004749	22.81858	27.314198	-18.320627	-18.768799	17.062685	-2.473119	-17.012455	-5.557588	-6.6077714	-10.1129055
TE0004750	-36.702103	-8.2321	1.5123048	-8.899232	3.3984475	8.037072	-4.374718	2.7327619	-2.513537	3.670935
TE0004751	-18.216408	7.689269	-3.6781762	9.466845	-3.00068	-2.0292008	2.9330952	-2.4450839	-5.6412883	3.4552872
TE0004752	-29.32083	12.995698	6.2671394	14.585423	-0.47286972	9.01389	-2.4428012	-6.020793	0.20823757	2.353494
TE0004753	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004754	-5.635377	21.457945	0.31680208	-7.1210184	-11.067224	2.8468313	-0.020694567	-10.574848	14.803178	-4.1038404
TE0004755	49.899403	-4.9968157	27.75198	13.27569	18.326042	9.562605	-6.088742	-2.0499744	-7.765928	-15.324543
TE0004756	9.428304	-14.585641	18.626177	24.984755	13.053833	-1.467953	1.579738	8.306755	0.70424527	-8.133388
TE0004757	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004758	5.016467	4.0800653	5.8855095	6.823699	-16.45642	12.521912	-5.586655	-6.6835127	-4.0783415	-2.6077845
TE0004759	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004760	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004761	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004762	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004763	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004764	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004765	-17.298273	-3.6351416	9.9504595	-18.905085	-8.280563	8.765205	5.3985567	0.38914323	1.1492748	-6.658147
TE0004766	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004767	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004768	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004769	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004770	47.902725	10.178759	8.138289	1.2437419	5.8585324	7.1455207	-3.8957613	7.4466295	3.9709208	7.1435566
TE0004771	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004772	-36.229282	8.166884	5.4781723	-10.310324	1.3034455	-6.4336767	8.101843	3.9518192	-3.6832492	1.7449598
TE0004773	19.302555	-32.331333	-16.69682	4.7033067	10.685464	7.370515	5.380515	-13.676595	-7.110128	-4.684304
TE0004774	-35.198727	10.609727	2.0182548	9.583171	-4.6222467	4.668642	-1.8918817	-10.521516	5.491688	2.0248365
TE0004775	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004776	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004777	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004779	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004780	-60.834774	0.5887089	-2.5614183	4.146006	3.4932206	2.1050208	1.188185	1.162796	-0.29019862	-1.0609676
TE0004781	13.097955	-5.9249077	13.739002	-9.534194	3.9072356	-10.30185	7.6495275	-2.2490177	-8.448784	2.835708
TE0004782	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004783	-38.79508	7.6567745	-1.6625721	-12.062986	-1.6335728	-3.2832906	4.548153	-0.9454614	3.7350616	-3.6965413
TE0004784	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004785	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004786	-10.5669155	16.969715	-1.5384909	16.105185	-7.658873	2.1793542	-6.435029	-8.698044	5.716069	4.6276484
TE0004787	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004788	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004789	-27.727982	-11.590075	-24.44197	11.114179	-0.03958343	-3.2696538	4.514904	4.765864	7.6189995	-3.0772617
TE0004790	38.836597	-27.35118	0.5502157	-7.907106	-7.825911	-0.43707985	2.9699783	0.6321186	14.975372	0.1750785
TE0004791	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004792	-60.834774	0.5887089	-2.5614183	4.146006	3.4932206	2.1050208	1.188185	1.162796	-0.29019862	-1.0609676
TE0004793	22.511946	32.131092	2.0322154	4.3892426	0.83407694	12.836583	8.329889	-5.767022	12.863627	2.0450814
TE0004794	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004795	53.710896	28.429333	15.674835	5.6640515	-3.4502666	18.165241	12.226624	0.47974515	-1.0060519	-7.7844753
TE0004796	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004797	-34.91097	16.589127	-1.0205019	-11.169868	8.330972	-9.612536	9.918907	0.4978273	-2.4403746	-4.697041
TE0004798	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004799	-41.61338	-1.1105562	3.0416806	-9.613884	-4.308225	3.0560846	1.9303986	-0.31639796	2.0915198	-0.051610895
TE0004800	-60.834774	0.5887089	-2.5614183	4.146006	3.4932206	2.1050208	1.188185	1.162796	-0.29019862	-1.0609676
TE0004801	-19.682085	-11.541073	13.386501	19.88693	5.8228416	3.9604661	5.921773	-2.6955576	2.9271781	-4.245227
TE0004802	23.902576	-32.958683	-43.843075	-3.109365	-0.000732365	6.7458673	-1.0255756	0.54942554	-4.184635	-6.052624
TE0004803	-3.6628613	12.986927	-2.6484787	-27.085285	6.231658	-6.986223	2.7885256	5.2755675	-5.5458207	-1.8957638
TE0004804	-60.834774	0.5887089	-2.5614183	4.146006	3.4932206	2.1050208	1.188185	1.162796	-0.29019862	-1.0609676
TE0004805	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004806	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004807	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004808	-27.951271	-9.734265	4.9298086	15.565397	-3.1138773	-8.063067	1.4857783	0.50007963	-1.070778	-5.613252
TE0004809	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004810	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004811	-60.834774	0.5887089	-2.5614183	4.146006	3.4932206	2.1050208	1.188185	1.162796	-0.29019862	-1.0609676
TE0004812	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004813	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004814	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004815	33.151215	2.0667372	7.1180844	23.929918	4.80214	26.022808	5.5631785	0.79547215	-10.643078	-9.0848255
TE0004816	-16.241392	12.941039	-1.1534593	-3.1596313	-12.782409	-4.3846974	3.28301	-12.965686	2.452976	0.91126657
TE0004817	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004818	54.307617	8.014035	17.446411	10.351348	-6.036767	3.1709836	14.910838	10.882542	-2.9265983	-2.177562
TE0004819	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004820	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004821	44.8747	-0.38354567	-10.495562	-0.9300305	1.4486215	-6.5470786	15.067495	-4.754915	0.92007273	0.91965336
TE0004822	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004823	-60.834774	0.5887089	-2.5614183	4.146006	3.4932206	2.1050208	1.188185	1.162796	-0.29019862	-1.0609676
TE0004824	6.744321	-6.58468	-12.819976	-3.976922	-20.165241	-6.64756	-5.3242188	3.7195942	1.7344148	3.3932183
TE0004825	2.4785945	-9.035168	-8.53706	3.3336225	-5.553321	-16.676235	7.3258204	7.7637534	-0.20869307	0.9869473
TE0004826	-60.834774	0.5887089	-2.5614183	4.146006	3.4932206	2.1050208	1.188185	1.162796	-0.29019862	-1.0609676
TE0004827	17.054344	-13.632949	23.463337	4.8543777	-1.7651645	-17.791365	6.277405	2.0654187	-1.9833632	-3.253382
TE0004828	12.965261	8.246837	10.257386	8.001763	-11.027744	13.13103	-5.8621707	1.3228121	-9.996774	5.0473423
TE0004829	-17.473318	-12.949862	14.292667	-11.977283	4.8561645	3.639537	0.81702495	-0.20516479	2.9306793	-4.367759
TE0004830	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004831	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004832	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004833	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004834	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004835	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004836	-60.834774	0.5887089	-2.5614183	4.146006	3.4932206	2.1050208	1.188185	1.162796	-0.29019862	-1.0609676
TE0004837	-31.645433	-4.067502	12.592077	-9.647998	2.3171859	4.560816	3.0502875	2.1519861	2.9168944	4.0546427
TE0004838	34.38017	-1.204273	16.608685	3.2281933	-6.55607	24.01005	14.062806	-4.4043508	-2.9945748	-0.10294066
TE0004839	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004840	-30.343166	2.7169173	-9.284597	-15.449044	-5.3629813	1.170295	-1.268784	3.4601393	0.976925	-3.0809019
TE0004841	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004842	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004843	9.833352	10.975945	8.699236	0.6469637	-11.592917	3.289693	12.573944	0.023220496	-2.9706557	5.7792706
TE0004844	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004845	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004846	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004847	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004849	10.033445	-8.75136	24.051548	6.2269425	-1.715395	-7.2927356	-3.3828897	3.4521909	3.9953759	4.9301834
TE0004850	26.762726	31.083431	8.864451	-11.126501	17.440466	-0.34250677	-7.7568293	4.186197	9.320481	-13.872077
TE0004851	-5.1567316	-0.11308505	15.831488	-14.456938	-6.909118	-0.66841376	-5.164371	-9.02577	3.1013541	0.96748674
TE0004852	34.291683	-2.1256986	1.095683	-10.804836	-0.77169424	-10.153026	-2.5264928	-11.05702	2.2217526	3.2798905
TE0004853	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004854	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004855	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004856	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004857	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004858	-16.588472	-7.8865795	17.929644	-10.367765	3.049859	2.6769722	2.2897596	6.668237	1.6303142	0.4245049
TE0004859	-16.084711	-1.4690104	13.382655	-8.408288	3.4130542	18.8156	15.388849	-1.341295	-0.7732353	-2.0294409
TE0004860	-22.795246	6.0262666	6.8227987	-11.025886	6.23814	-8.200725	5.5631413	6.7863183	-8.515242	-2.459623
TE0004861	24.668211	8.221673	18.05889	5.5259385	-22.22036	12.355559	7.231363	-0.8006105	-0.98880684	-0.6999049
TE0004862	-48.00186	-1.875223	-7.241775	-4.2614	1.2255449	7.6203403	-0.6296217	1.7275088	-2.7712088	0.338551
TE0004863	-33.63191	11.720977	3.084263	-10.474802	1.1398635	-0.63404757	7.3524966	4.333268	5.0438204	-0.68628544
TE0004864	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004865	45.400494	-10.153952	47.554077	-2.6534474	1.7953649	-4.2720814	3.3218396	2.4271185	1.5381385	1.9452674
TE0004866	10.26966	0.29085445	18.128849	9.282089	-14.400634	-3.4615204	1.1758868	4.0063896	1.2134739	2.201239
TE0004867	3.9423797	8.664346	-20.439098	13.97258	-6.6628857	-9.855645	-3.1120477	3.6155427	-7.6207056	-6.743429
TE0004868	-60.834774	0.5887089	-2.5614183	4.146006	3.4932206	2.1050208	1.188185	1.162796	-0.29019862	-1.0609676
TE0004869	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004870	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004871	30.327427	-2.9129283	4.1548347	-2.004679	-8.208786	-5.518508	-13.934091	6.725986	-5.9872236	0.93572915
TE0004872	-60.834774	0.5887089	-2.5614183	4.146006	3.4932206	2.1050208	1.188185	1.162796	-0.29019862	-1.0609676
TE0004873	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
