SID	tg_cnnPC1	tg_cnnPC2	tg_cnnPC3	tg_cnnPC4	tg_cnnPC5	tg_cnnPC6	tg_cnnPC7	tg_cnnPC8	tg_cnnPC9	tg_cnnPC10
TE0003954	-20.451452	-15.076761	6.812681	-10.888835	-17.00984	15.997782	-23.176098	15.638895	19.30293	4.173498
TE0003955	10.780257	-21.98695	-34.749565	-33.835003	1.0645797	34.92432	46.209305	-6.204655	21.301683	31.616135
TE0003956	-4.598704	-43.244846	42.54707	3.3733501	1.6413462	12.457895	13.186856	12.885618	-31.951586	27.947945
TE0003957	79.71032	50.682167	-10.747899	2.0616524	-2.0604107	7.202948	26.105316	11.499785	26.133688	-23.709803
TE0003958	6.3540683	-17.556164	68.02528	-21.799416	22.514887	23.562424	8.961083	8.3983965	12.117559	27.297663
TE0003959	15.066654	-39.96394	-0.7991996	-1.6266271	-3.5834324	19.703238	-0.42362905	4.5617714	-35.04596	21.07543
TE0003960	-27.3766	-24.968838	-57.53282	29.102478	21.380827	-25.384888	9.937288	-3.2419171	7.8827233	7.7806244
TE0003961	6.2769785	-52.279655	-15.094846	4.4743505	-26.53238	8.282429	-10.299344	5.380074	-6.8936667	9.284161
TE0003962	32.87273	-10.922043	14.364137	-27.55537	13.596295	0.27467546	14.964729	8.642613	-8.955812	29.469244
TE0003963	-36.369648	2.2697885	-9.006816	17.712423	30.406908	-2.8116755	44.139748	-1.819703	-10.477042	-16.74316
TE0003964	52.641376	-48.90941	34.40584	-21.866867	59.761627	11.843106	-14.010999	5.6374073	17.124218	-7.5614023
TE0003965	-44.042053	29.691378	-46.945583	9.761773	-10.854193	6.5635877	9.7244215	28.520103	2.9047246	-10.676366
TE0003966	-7.0865006	-13.190769	-11.494934	-1.9847797	-41.78226	46.186268	45.78696	-23.131653	-27.383556	-11.846094
TE0003967	10.628333	-25.781399	-17.376041	20.955313	0.8125605	-17.316406	-21.508738	37.52808	1.1915417	-11.729917
TE0003968	4.3022985	-16.584248	-15.973173	-21.898306	-45.82054	5.0998907	-5.1015205	-29.595057	-10.335207	17.045801
TE0003969	12.52429	74.30358	0.41775528	16.169498	46.919247	-1.582082	1.9982523	23.149118	-16.158722	30.367054
TE0003970	6.3988485	-34.89449	27.727663	-5.9493833	32.296608	24.272287	-16.416225	-41.360165	-13.203543	-13.923825
TE0003971	56.71477	-50.39466	42.059498	-0.58495164	27.197319	-42.73573	-5.10825	4.800726	-15.865893	8.055731
TE0003972	74.01428	-20.560188	-16.811666	-0.3503964	-26.387257	-4.707012	-15.136337	1.5505126	-10.2596655	9.9124155
TE0003973	-4.801685	-1.1573441	-14.7997465	0.55922264	3.820177	-29.183847	14.883121	-25.437338	2.2081037	14.232982
TE0003974	0.38319397	-49.17751	32.6862	-6.3378515	10.322771	35.640682	-6.0778465	1.9727306	19.189184	-11.425178
TE0003975	-58.213078	-11.828103	-14.195933	-29.808933	-5.3191853	-11.742327	5.5883055	-5.183259	-12.86631	-10.885081
TE0003976	37.455765	17.314497	-2.0929964	-20.452322	-16.754774	22.579302	-1.030441	7.06637	9.353245	-11.865396
TE0003977	18.238792	18.822502	37.81038	-19.453512	0.13739216	-35.65307	8.446647	-3.3755417	-13.854585	0.7200298
TE0003978	7.1761956	34.643143	-31.815964	-4.9191113	1.5587099	-18.761839	8.943222	37.46166	17.037817	4.1117954
